node,kind,owner,depends_on,must_finish,driver,deadline,latest_start,slack_years,start,finish,stream
client-sdk-update,enabler,mobile,,,-,2029-07-02,2028-01-01,1.25,2027-10-01,2029-04-01,4
customer-api-tls,asset,api,client-sdk-update,2030-01-01,confidentiality:physics,2030-01-01,2029-07-02,2.75,2029-04-01,2029-10-01,1
hsm-firmware-upgrade,enabler,platform,,,-,2014-01-01,2013-07-02,-13.25,2026-10-01,2027-04-02,1
payment-hsm-keywrap,asset,payments-core,hsm-firmware-upgrade,2024-12-31,confidentiality:physics,2015-01-01,2014-01-01,-12.75,2027-04-02,2028-04-01,2
archive-backups,asset,data-platform,payment-hsm-keywrap,2016-12-31,confidentiality:physics,2016-12-31,2015-01-01,-11.75,2028-04-01,2030-04-01,3
terminal-update-channel,enabler,terminals,,,-,2025-07-02,2024-07-02,-2.25,2026-10-01,2027-10-01,4
firmware-signing-pos,asset,terminals,hsm-firmware-upgrade;terminal-update-channel,2027-01-01,signing:cnsa2-procurement,2027-01-01,2025-07-02,-1.25,2027-10-01,2029-04-01,1
trust-store-distribution,enabler,platform,,,-,2029-07-01,2028-09-30,2.0,2028-04-01,2028-12-31,2
internal-ca-mldsa,asset,platform,trust-store-distribution;hsm-firmware-upgrade,2032-01-01,authentication:physics,2030-07-01,2029-07-01,2.75,2028-12-31,2029-12-31,2
service-mesh-mtls,asset,platform,internal-ca-mldsa,2030-12-31,confidentiality:nist-ir8547-deprecate,2030-12-31,2030-07-01,3.75,2029-12-31,2030-07-02,4
